Transaction_ID,Date,Time,Item_Name,Category,Quantity,Unit_Price,Unit_Cost,Discount_Applied,Total_Amount
12157,2023-01-01,00:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,46.0,552.0
12157,2023-01-01,00:00:00,Virgin Mojito,Mocktails,1,110,30,0.0,110.0
14147,2023-01-01,01:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,46.0,552.0
14147,2023-01-01,01:00:00,Virgin Mojito,Mocktails,2,110,30,11.0,198.0
10711,2023-01-01,03:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
10711,2023-01-01,03:00:00,Cold Coffee,Cold Beverages,2,90,25,18.0,144.0
21242,2023-01-01,05:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,17.0,306.0
18384,2023-01-01,08:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
18384,2023-01-01,08:00:00,Cold Coffee,Cold Beverages,3,90,25,9.0,243.0
21695,2023-01-01,08:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,36.0,432.0
21695,2023-01-01,08:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,0.0,340.0
18243,2023-01-01,13:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,46.0,368.0
18243,2023-01-01,13:00:00,Virgin Mojito,Mocktails,2,110,30,0.0,220.0
20920,2023-01-01,15:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,46.0,552.0
20920,2023-01-01,15:00:00,Virgin Mojito,Mocktails,3,110,30,0.0,330.0
14671,2023-01-01,16:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
14671,2023-01-01,16:00:00,Virgin Mojito,Mocktails,2,110,30,22.0,176.0
11177,2023-01-01,17:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,46.0,368.0
11177,2023-01-01,17:00:00,Virgin Mojito,Mocktails,2,110,30,11.0,198.0
12533,2023-01-01,21:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,0.0,690.0
12533,2023-01-01,21:00:00,Cold Coffee,Cold Beverages,2,90,25,0.0,180.0
13790,2023-01-01,21:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,0.0,510.0
13790,2023-01-01,21:00:00,Cold Coffee,Cold Beverages,2,90,25,0.0,180.0
13790,2023-01-01,21:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,36.0,432.0
10737,2023-01-01,23:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,18.0,486.0
10737,2023-01-01,23:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,0.0,510.0
15839,2023-01-02,07:00:00,Chilli Baby Corn (dry),Starter,1,160,50,32.0,128.0
15839,2023-01-02,07:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
20179,2023-01-02,08:00:00,Cold Coffee,Cold Beverages,3,90,25,0.0,270.0
20179,2023-01-02,08:00:00,Chicken Lollipop 6pcs,Starter,1,180,70,0.0,180.0
20179,2023-01-02,08:00:00,Bbq Fried Wings 6 Pcs.,Snacks,1,170,65,17.0,153.0
19186,2023-01-02,12:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,46.0,368.0
19186,2023-01-02,12:00:00,Cold Coffee,Cold Beverages,1,90,25,18.0,72.0
10123,2023-01-02,13:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,18.0,486.0
10123,2023-01-02,13:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,0.0,340.0
21453,2023-01-02,13:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
21453,2023-01-02,13:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
10654,2023-01-02,15:00:00,Virgin Mojito,Mocktails,2,110,30,0.0,220.0
10654,2023-01-02,15:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,34.0,408.0
10654,2023-01-02,15:00:00,Cold Coffee,Cold Beverages,2,90,25,0.0,180.0
20470,2023-01-02,17:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,0.0,340.0
20470,2023-01-02,17:00:00,Chilli Baby Corn (dry),Starter,1,160,50,16.0,144.0
20470,2023-01-02,17:00:00,Cold Coffee,Cold Beverages,2,90,25,0.0,180.0
16469,2023-01-02,18:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,18.0,486.0
16469,2023-01-02,18:00:00,Bbq Fried Wings 6 Pcs.,Snacks,1,170,65,17.0,153.0
17050,2023-01-02,23:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
17050,2023-01-02,23:00:00,Cold Coffee,Cold Beverages,2,90,25,0.0,180.0
21102,2023-01-02,23:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,0.0,690.0
21102,2023-01-02,23:00:00,Cold Coffee,Cold Beverages,3,90,25,0.0,270.0
16613,2023-01-03,00:00:00,Chicken Lollipop 6pcs,Starter,1,180,70,0.0,180.0
16613,2023-01-03,00:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,0.0,340.0
17350,2023-01-03,00:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,23.0,621.0
17350,2023-01-03,00:00:00,Cold Coffee,Cold Beverages,2,90,25,9.0,162.0
16081,2023-01-03,01:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,46.0,368.0
16081,2023-01-03,01:00:00,Virgin Mojito,Mocktails,2,110,30,0.0,220.0
17681,2023-01-03,01:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,0.0,540.0
17681,2023-01-03,01:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,0.0,340.0
14119,2023-01-03,02:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,36.0,432.0
14119,2023-01-03,02:00:00,Bbq Fried Wings 6 Pcs.,Snacks,2,170,65,0.0,340.0
14209,2023-01-03,04:00:00,Chicken Lollipop 6pcs,Starter,1,180,70,36.0,144.0
14209,2023-01-03,04:00:00,Bbq Fried Wings 6 Pcs.,Snacks,1,170,65,0.0,170.0
18132,2023-01-03,04:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,0.0,690.0
18132,2023-01-03,04:00:00,Virgin Mojito,Mocktails,3,110,30,11.0,297.0
14291,2023-01-03,05:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,23.0,414.0
14291,2023-01-03,05:00:00,Virgin Mojito,Mocktails,2,110,30,0.0,220.0
17208,2023-01-03,05:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,0.0,540.0
17208,2023-01-03,05:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,34.0,408.0
16694,2023-01-03,06:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,36.0,432.0
16694,2023-01-03,06:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,17.0,459.0
18210,2023-01-03,06:00:00,Chicken Lollipop 6pcs,Starter,1,180,70,0.0,180.0
18210,2023-01-03,06:00:00,Chilli Baby Corn (dry),Starter,1,160,50,0.0,160.0
18210,2023-01-03,06:00:00,Cold Coffee,Cold Beverages,3,90,25,0.0,270.0
10060,2023-01-03,07:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,23.0,414.0
10060,2023-01-03,07:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
18136,2023-01-03,07:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
18136,2023-01-03,07:00:00,Cold Coffee,Cold Beverages,2,90,25,9.0,162.0
20577,2023-01-03,07:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,46.0,552.0
20577,2023-01-03,07:00:00,Cold Coffee,Cold Beverages,3,90,25,18.0,216.0
17319,2023-01-03,13:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,46.0,368.0
17319,2023-01-03,13:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
13033,2023-01-03,14:00:00,Virgin Mojito,Mocktails,3,110,30,0.0,330.0
13033,2023-01-03,14:00:00,Chilli Baby Corn (dry),Starter,3,160,50,32.0,384.0
13033,2023-01-03,14:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,0.0,510.0
12167,2023-01-03,15:00:00,Cold Coffee,Cold Beverages,2,90,25,18.0,144.0
16649,2023-01-03,16:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,46.0,184.0
16649,2023-01-03,16:00:00,Virgin Mojito,Mocktails,1,110,30,0.0,110.0
12516,2023-01-04,01:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
12516,2023-01-04,01:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
13696,2023-01-04,03:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,0.0,690.0
13696,2023-01-04,03:00:00,Virgin Mojito,Mocktails,1,110,30,0.0,110.0
16909,2023-01-04,04:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,46.0,184.0
16909,2023-01-04,04:00:00,Cold Coffee,Cold Beverages,2,90,25,9.0,162.0
16221,2023-01-04,05:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
16221,2023-01-04,05:00:00,Cold Coffee,Cold Beverages,2,90,25,9.0,162.0
21660,2023-01-04,07:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,0.0,510.0
10982,2023-01-04,08:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,3,230,90,23.0,621.0
10982,2023-01-04,08:00:00,Virgin Mojito,Mocktails,1,110,30,0.0,110.0
15782,2023-01-04,10:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
15782,2023-01-04,10:00:00,Virgin Mojito,Mocktails,1,110,30,22.0,88.0
16130,2023-01-04,10:00:00,Virgin Mojito,Mocktails,3,110,30,0.0,330.0
16130,2023-01-04,10:00:00,Chilli Baby Corn (dry),Starter,3,160,50,0.0,480.0
10444,2023-01-04,12:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
10444,2023-01-04,12:00:00,Cold Coffee,Cold Beverages,2,90,25,0.0,180.0
13200,2023-01-04,14:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,46.0,368.0
13200,2023-01-04,14:00:00,Cold Coffee,Cold Beverages,3,90,25,0.0,270.0
12629,2023-01-04,17:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,46.0,184.0
12629,2023-01-04,17:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
21829,2023-01-04,18:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
21829,2023-01-04,18:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
17609,2023-01-04,19:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
17609,2023-01-04,19:00:00,Cold Coffee,Cold Beverages,2,90,25,18.0,144.0
14015,2023-01-04,23:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
14015,2023-01-04,23:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
19722,2023-01-05,01:00:00,Chicken Lollipop 6pcs,Starter,3,180,70,18.0,486.0
19722,2023-01-05,01:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,34.0,408.0
12646,2023-01-05,03:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,2,230,90,0.0,460.0
12646,2023-01-05,03:00:00,Cold Coffee,Cold Beverages,1,90,25,0.0,90.0
18431,2023-01-05,04:00:00,Chicken Lollipop 6pcs,Starter,2,180,70,36.0,288.0
18431,2023-01-05,04:00:00,Bbq Fried Wings 6 Pcs.,Snacks,3,170,65,17.0,459.0
18571,2023-01-05,06:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
18571,2023-01-05,06:00:00,Cold Coffee,Cold Beverages,2,90,25,9.0,162.0
11786,2023-01-05,09:00:00,Chicken Pepper Bbq Pizza (Medium),Pizza,1,230,90,0.0,230.0
11786,2023-01-05,09:00:00,Virgin Mojito,Mocktails,2,110,30,22.0,176.0
19027,2023-01-05,09:00:00,Chilli Baby Corn (dry),Starter,1,160,50,0.0,160.0
19027,2023-01-05,09:00:00,Cold Coffee,Cold Beverages,3,90,25,0.0,270.0
