Date,Item_Name,Category,Forecasted_Prep_Qty,Actual_Demand_Qty,Spoiled_Qty,Unit_Cost,Salvage_Value
2024-01-01,Chicken Lollipop 6pcs,Starter,34,33,1,70,0
2024-01-01,Chilli Baby Corn (dry),Starter,44,35,9,50,0
2024-01-01,Chicken Pepper Bbq Pizza (Medium),Pizza,28,28,0,90,0
2024-01-01,Bbq Fried Wings 6 Pcs.,Snacks,47,42,5,65,0
2024-01-01,Cold Coffee,Cold Beverages,30,26,4,25,0
2024-01-01,Virgin Mojito,Mocktails,26,26,0,30,0
2024-01-02,Chicken Lollipop 6pcs,Starter,24,31,0,70,0
2024-01-02,Chilli Baby Corn (dry),Starter,16,16,0,50,0
2024-01-02,Chicken Pepper Bbq Pizza (Medium),Pizza,24,21,3,90,0
2024-01-02,Bbq Fried Wings 6 Pcs.,Snacks,17,22,0,65,0
2024-01-02,Cold Coffee,Cold Beverages,41,41,0,25,0
2024-01-02,Virgin Mojito,Mocktails,25,30,0,30,0
2024-01-03,Chicken Lollipop 6pcs,Starter,27,25,2,70,0
2024-01-03,Chilli Baby Corn (dry),Starter,23,20,3,50,0
2024-01-03,Chicken Pepper Bbq Pizza (Medium),Pizza,25,25,0,90,0
2024-01-03,Bbq Fried Wings 6 Pcs.,Snacks,36,25,11,65,0
2024-01-03,Cold Coffee,Cold Beverages,26,29,0,25,0
2024-01-03,Virgin Mojito,Mocktails,32,36,0,30,0
2024-01-04,Chicken Lollipop 6pcs,Starter,24,31,0,70,0
2024-01-04,Chilli Baby Corn (dry),Starter,21,19,2,50,0
2024-01-04,Chicken Pepper Bbq Pizza (Medium),Pizza,37,35,2,90,0
2024-01-04,Bbq Fried Wings 6 Pcs.,Snacks,29,29,0,65,0
2024-01-04,Cold Coffee,Cold Beverages,17,18,0,25,0
2024-01-04,Virgin Mojito,Mocktails,33,26,7,30,0
2024-01-05,Chicken Lollipop 6pcs,Starter,26,32,0,70,0
2024-01-05,Chilli Baby Corn (dry),Starter,32,32,0,50,0
2024-01-05,Chicken Pepper Bbq Pizza (Medium),Pizza,29,24,5,90,0
2024-01-05,Bbq Fried Wings 6 Pcs.,Snacks,44,38,6,65,0
2024-01-05,Cold Coffee,Cold Beverages,23,23,0,25,0
2024-01-05,Virgin Mojito,Mocktails,38,32,6,30,0
2024-01-06,Chicken Lollipop 6pcs,Starter,27,26,1,70,0
2024-01-06,Chilli Baby Corn (dry),Starter,18,21,0,50,0
2024-01-06,Chicken Pepper Bbq Pizza (Medium),Pizza,44,36,8,90,0
2024-01-06,Bbq Fried Wings 6 Pcs.,Snacks,36,29,7,65,0
2024-01-06,Cold Coffee,Cold Beverages,31,32,0,25,0
2024-01-06,Virgin Mojito,Mocktails,41,32,9,30,0
